Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
2100055,Açailândia,88.320,52.093,51.920,78.241,25.772,104.013
2100105,Afonso Cunha,4.680,3.001,2.956,3.272,2.685,5.957
2100154,Água Doce do Maranhão,9.703,6.026,5.564,3.124,8.466,11.590
2100204,Alcântara,21.291,11.251,10.601,6.400,15.452,21.852
2100303,Aldeias Altas,18.827,12.393,11.559,13.634,10.318,23.952
2100402,Altamira do Maranhão,8.865,5.190,5.021,3.141,7.070,10.211
2100436,Alto Alegre do Maranhão,20.162,12.272,12.324,19.374,5.222,24.596
2100477,Alto Alegre do Pindaré,30.177,15.995,15.033,9.834,21.194,31.028
2100501,Alto Parnaíba,10.174,5.468,5.297,7.028,3.737,10.765
2100550,Amapá do Maranhão,5.431,3.311,3.120,4.841,1.590,6.431
2100600,Amarante do Maranhão,31.292,19.760,18.134,15.006,22.888,37.894
2100709,Anajatuba,22.978,12.960,12.334,7.018,18.276,25.294
2100808,Anapurus,10.280,6.984,6.939,7.158,6.765,13.923
2100832,Apicum-Açu,11.099,7.816,7.143,9.162,5.797,14.959
2100873,Araguanã,9.123,7.110,6.847,5.376,8.581,13.957
2100907,Araioses,34.906,22.019,20.581,12.088,30.512,42.600
2100956,Arame,29.843,16.393,15.175,12.558,19.010,31.568
2101004,Arari,26.366,14.308,14.169,17.484,10.993,28.477
2101103,Axixá,10.142,5.831,5.594,4.705,6.720,11.425
2101202,Bacabal,91.823,47.747,52.213,77.836,22.124,99.960
2101251,Bacabeira,10.516,7.542,7.423,3.324,11.641,14.965
2101301,Bacuri,15.531,8.494,8.132,8.692,7.934,16.626
2101350,Bacurituba,4.671,2.743,2.561,1.429,3.875,5.304
2101400,Balsas,60.163,41.568,41.969,72.786,10.751,83.537
2101509,Barão de Grajaú,15.349,8.924,8.892,10.308,7.508,17.816
2101608,Barra do Corda,78.147,41.580,41.112,51.572,31.120,82.692
2101707,Barreirinhas,39.669,28.159,26.832,22.156,32.835,54.991
2101772,Bela Vista do Maranhão,9.900,6.034,5.912,5.167,6.779,11.946
2101731,Belágua,5.253,3.425,3.102,3.266,3.261,6.527
2101806,Benedito Leite,5.288,2.858,2.615,2.817,2.656,5.473
2101905,Bequimão,19.700,10.344,9.995,6.591,13.748,20.339
2101939,Bernardo do Mearim,5.239,2.973,3.023,2.324,3.672,5.996
2101970,Boa Vista do Gurupi,5.128,4.041,3.908,5.619,2.330,7.949
2102002,Bom Jardim,34.474,19.891,19.202,16.439,22.654,39.093
2102036,Bom Jesus das Selvas,16.545,14.872,13.584,13.431,15.025,28.456
2102077,Bom Lugar,11.534,7.555,7.268,4.181,10.642,14.823
2102101,Brejo,27.513,16.858,16.456,12.312,21.002,33.314
2102150,Brejo de Areia,10.418,5.460,5.080,2.853,7.687,10.540
2102200,Buriti,24.126,13.714,13.328,8.417,18.625,27.042
2102309,Buriti Bravo,21.446,11.303,11.583,17.004,5.882,22.886
2102325,Buriticupu,51.059,33.305,31.921,35.790,29.436,65.226
2102358,Buritirana,13.822,7.530,7.240,4.152,10.618,14.770
2102374,Cachoeira Grande,7.383,4.402,4.040,3.793,4.649,8.442
2102408,Cajapió,9.622,5.363,5.269,3.905,6.727,10.632
2102507,Cajari,13.405,9.517,8.831,4.285,14.063,18.348
2102556,Campestre do Maranhão,11.521,6.819,6.550,10.621,2.748,13.369
2102606,Cândido Mendes,16.566,9.690,8.815,11.911,6.594,18.505
2102705,Cantanhede,17.713,10.257,10.200,12.965,7.492,20.457
2102754,Capinzal do Norte,10.543,5.345,5.353,5.610,5.088,10.698
2102804,Carolina,23.991,12.289,11.690,16.240,7.739,23.979
2102903,Carutapera,18.624,11.339,10.669,16.224,5.784,22.008
2103000,Caxias,139.756,75.111,80.091,118.559,36.643,155.202
2103109,Cedral,9.793,5.395,4.905,2.400,7.900,10.300
2103125,Central do Maranhão,7.186,4.137,3.851,4.175,3.813,7.988
2103158,Centro do Guilherme,6.152,6.610,5.907,7.037,5.480,12.517
2103174,Centro Novo do Maranhão,14.554,9.331,8.291,5.522,12.100,17.622
2103208,Chapadinha,61.322,36.230,37.051,52.814,20.467,73.281
2103257,Cidelândia,11.816,6.976,6.617,5.997,7.596,13.593
2103307,Codó,111.146,57.432,60.640,81.043,37.029,118.072
2103406,Coelho Neto,42.214,23.004,23.788,38.770,8.022,46.792
2103505,Colinas,35.803,19.399,19.768,25.596,13.571,39.167
2103554,Conceição do Lago-Açu,10.774,7.482,6.946,6.860,7.568,14.428
2103604,Coroatá,55.676,30.636,31.017,43.017,18.636,61.653
2103703,Cururupu,33.747,16.566,16.028,22.216,10.378,32.594
2103752,Davinópolis,12.275,6.252,6.299,10.475,2.076,12.551
2103802,Dom Pedro,21.956,10.960,11.713,15.257,7.416,22.673
2103901,Duque Bacelar,9.413,5.367,5.267,5.318,5.316,10.634
2104008,Esperantinópolis,21.224,9.077,9.379,10.039,8.417,18.456
2104057,Estreito,22.930,18.927,16.811,25.676,10.062,35.738
2104073,Feira Nova do Maranhão,7.543,4.265,3.855,1.927,6.193,8.120
2104081,Fernando Falcão,4.823,4.806,4.374,1.511,7.669,9.180
2104099,Formosa da Serra Negra,13.781,9.333,8.447,5.915,11.865,17.780
2104107,Fortaleza dos Nogueiras,11.301,5.968,5.676,7.019,4.625,11.644
2104206,Fortuna,14.596,7.618,7.490,9.504,5.604,15.108
2104305,Godofredo Viana,6.994,5.566,5.069,6.723,3.912,10.635
2104404,Gonçalves Dias,16.790,8.676,8.809,7.778,9.707,17.485
2104503,Governador Archer,9.100,5.066,5.139,6.630,3.575,10.205
2104552,Governador Edison Lobão,10.891,8.156,7.739,6.954,8.941,15.895
2104602,Governador Eugênio Barros,14.629,8.057,7.926,4.690,11.293,15.983
2104628,Governador Luiz Rocha,6.513,3.750,3.587,5.187,2.150,7.337
2104651,Governador Newton Bello,11.804,6.017,5.905,4.291,7.631,11.922
2104677,Governador Nunes Freire,25.921,12.863,12.539,15.945,9.457,25.402
2104701,Graça Aranha,6.080,3.031,3.109,2.912,3.228,6.140
2104800,Grajaú,47.155,31.605,30.298,36.983,24.920,61.903
2104909,Guimarães,12.641,6.146,5.959,6.929,5.176,12.105
2105005,Humberto de Campos,21.266,13.687,12.510,10.505,15.692,26.197
2105104,Icatu,21.489,13.093,12.054,7.813,17.334,25.147
2105153,Igarapé do Meio,9.842,6.331,6.212,6.203,6.340,12.543
2105203,Igarapé Grande,9.759,5.428,5.619,6.670,4.377,11.047
2105302,Imperatriz,230.566,119.230,128.323,234.671,12.882,247.553
2105351,Itaipava do Grajaú,13.341,7.382,6.882,4.243,10.021,14.264
2105401,Itapecuru Mirim,42.772,31.030,31.093,34.717,27.406,62.123
2105427,Itinga do Maranhão,23.128,12.580,12.311,17.660,7.231,24.891
2105450,Jatobá,5.055,4.303,4.223,3.740,4.786,8.526
2105476,Jenipapo dos Vieiras,10.119,7.959,7.438,2.536,12.861,15.397
2105500,João Lisboa,24.598,9.976,10.405,15.346,5.035,20.381
2105609,Joselândia,14.609,7.818,7.619,5.960,9.477,15.437
2105658,Junco do Maranhão,5.533,2.007,2.013,2.819,1.201,4.020
2105708,Lago da Pedra,40.405,22.983,23.125,30.109,15.999,46.108
2105807,Lago do Junco,9.833,5.417,5.319,3.924,6.812,10.736
2105948,Lago dos Rodrigues,8.443,3.867,3.932,4.850,2.949,7.799
2105906,Lago Verde,13.038,7.730,7.677,5.053,10.354,15.407
2105922,Lagoa do Mato,9.446,5.623,5.331,4.469,6.485,10.954
2105963,Lagoa Grande do Maranhão,8.469,5.553,4.983,5.497,5.039,10.536
2105989,Lajeado Novo,5.717,3.624,3.299,3.194,3.729,6.923
2106003,Lima Campos,10.749,5.608,5.807,6.785,4.630,11.415
2106102,Loreto,10.024,5.858,5.516,6.344,5.030,11.374
2106201,Luís Domingues,5.724,3.399,3.111,5.503,1.007,6.510
2106300,Magalhães de Almeida,13.021,8.992,8.641,8.920,8.713,17.633
2106326,Maracaçumé,14.866,9.586,9.556,15.825,3.317,19.142
2106359,Marajá do Sena,7.161,4.381,3.664,1.155,6.890,8.045
2106375,Maranhãozinho,8.445,7.168,6.898,9.020,5.046,14.066
2106409,Mata Roma,11.799,7.566,7.557,7.120,8.003,15.123
2106508,Matinha,19.231,11.020,10.812,8.838,12.994,21.832
2106607,Matões,26.433,15.534,15.396,13.623,17.307,30.930
2106631,Matões do Norte,7.435,7.242,6.554,4.679,9.117,13.796
2106672,Milagres do Maranhão,5.149,4.197,3.921,1.760,6.358,8.118
2106706,Mirador,19.906,10.446,9.988,9.366,11.068,20.434
2106755,Miranda do Norte,16.123,11.759,12.572,19.423,4.908,24.331
2106805,Mirinzal,13.005,7.286,6.927,9.031,5.182,14.213
2106904,Monção,26.043,16.185,15.563,11.753,19.995,31.748
2107001,Montes Altos,10.347,4.910,4.514,5.135,4.289,9.424
2107100,Morros,14.594,9.156,8.649,6.733,11.072,17.805
2107209,Nina Rodrigues,8.289,6.338,6.129,4.432,8.035,12.467
2107258,Nova Colinas,3.904,2.600,2.285,2.210,2.675,4.885
2107308,Nova Iorque,4.543,2.336,2.264,2.877,1.723,4.600
2107357,Nova Olinda do Maranhão,15.660,9.539,9.586,11.843,7.282,19.125
2107407,Olho d'Água das Cunhãs,14.377,9.154,9.351,9.555,8.950,18.505
2107456,Olinda Nova do Maranhão,10.128,6.780,6.342,5.943,7.179,13.122
2107506,Paço do Lumiar,76.188,50.744,54.137,78.749,26.132,104.881
2107605,Palmeirândia,17.264,9.388,9.378,3.461,15.305,18.766
2107704,Paraibano,17.854,9.875,10.229,15.747,4.357,20.104
2107803,Parnarama,32.469,17.541,17.072,13.530,21.083,34.613
2107902,Passagem Franca,14.817,8.702,8.874,10.473,7.103,17.576
2108009,Pastos Bons,15.460,9.168,8.911,12.308,5.771,18.079
2108058,Paulino Neves,11.526,7.486,7.012,4.651,9.847,14.498
2108108,Paulo Ramos,19.290,10.137,9.950,10.836,9.251,20.087
2108207,Pedreiras,39.828,18.889,20.592,32.965,6.516,39.481
2108256,Pedro do Rosário,17.954,11.830,10.901,5.893,16.838,22.731
2108306,Penalva,30.299,17.397,16.849,16.575,17.671,34.246
2108405,Peri Mirim,13.071,6.993,6.814,3.668,10.139,13.807
2108454,Peritoró,17.336,10.119,10.155,6.827,13.447,20.274
2108504,Pindaré-Mirim,27.517,15.220,15.925,22.402,8.743,31.145
2108603,Pinheiro,68.030,38.066,40.081,46.458,31.689,78.147
2108702,Pio XII,28.413,11.004,11.012,12.459,9.557,22.016
2108801,Pirapemas,15.124,8.656,8.702,11.114,6.244,17.358
2108900,Poção de Pedras,22.378,9.914,9.791,8.377,11.328,19.705
2109007,Porto Franco,16.840,10.832,10.674,16.865,4.641,21.506
2109056,Porto Rico do Maranhão,6.380,3.211,2.851,2.432,3.630,6.062
2109106,Presidente Dutra,39.541,21.966,22.753,31.997,12.722,44.719
2109205,Presidente Juscelino,10.693,6.006,5.531,4.120,7.417,11.537
2109239,Presidente Médici,5.116,3.293,3.077,3.904,2.466,6.370
2109270,Presidente Sarney,13.718,8.881,8.262,4.286,12.857,17.143
2109304,Presidente Vargas,10.483,5.467,5.262,4.588,6.141,10.729
2109403,Primeira Cruz,11.019,7.382,6.514,4.294,9.602,13.896
2109452,Raposa,17.088,13.129,13.151,16.642,9.638,26.280
2109502,Riachão,20.983,10.392,9.826,10.210,10.008,20.218
2109551,Ribamar Fiquene,6.488,3.759,3.535,3.662,3.632,7.294
2109601,Rosário,33.665,19.660,19.922,23.258,16.324,39.582
2109700,Sambaíba,5.261,2.891,2.593,2.836,2.648,5.484
2109759,Santa Filomena do Maranhão,4.667,3.671,3.392,2.293,4.770,7.063
2109809,Santa Helena,30.860,19.383,19.677,19.583,19.477,39.060
2109908,Santa Inês,68.321,37.303,40.879,73.932,4.250,78.182
2110005,Santa Luzia,69.271,35.320,34.072,25.862,43.530,69.392
2110039,Santa Luzia do Paruá,20.058,11.377,11.267,12.591,10.053,22.644
2110104,Santa Quitéria do Maranhão,28.150,14.716,14.456,14.139,15.033,29.172
2110203,Santa Rita,24.922,16.324,16.041,14.898,17.467,32.365
2110237,Santana do Maranhão,10.944,6.028,5.633,1.842,9.819,11.661
2110278,Santo Amaro do Maranhão,9.612,7.309,6.512,3.610,10.211,13.821
2110302,Santo Antônio dos Lopes,14.253,7.190,7.098,5.732,8.556,14.288
2110401,São Benedito do Rio Preto,16.442,9.042,8.760,11.049,6.753,17.802
2110500,São Bento,31.819,19.933,20.784,23.496,17.221,40.717
2110609,São Bernardo,22.720,13.366,13.114,11.800,14.680,26.480
2110658,São Domingos do Azeitão,6.289,3.566,3.417,4.961,2.022,6.983
2110708,São Domingos do Maranhão,33.049,16.900,16.730,17.320,16.310,33.630
2110807,São Félix de Balsas,5.144,2.445,2.243,1.627,3.061,4.688
2110856,São Francisco do Brejão,7.062,5.255,4.971,4.809,5.417,10.226
2110906,São Francisco do Maranhão,12.854,6.164,5.999,4.117,8.046,12.163
2111003,São João Batista,18.917,10.164,9.802,5.357,14.609,19.966
2111029,São João do Carú,13.495,6.343,5.972,6.329,5.986,12.315
2111052,São João do Paraíso,10.365,5.778,5.045,5.278,5.545,10.823
2111078,São João do Soter,14.834,8.754,8.350,6.614,10.490,17.104
2111102,São João dos Patos,23.182,12.180,12.733,20.553,4.360,24.913
2111201,São José de Ribamar,107.384,78.626,84.299,37.713,125.212,162.925
2111250,São José dos Basílios,7.432,3.760,3.736,3.006,4.490,7.496
2111300,São Luís,870.028,473.762,538.181,955.600,56.343,1.011.943
2111409,São Luís Gonzaga do Maranhão,22.772,10.161,9.995,7.896,12.260,20.156
2111508,São Mateus do Maranhão,34.859,19.241,19.868,28.724,10.385,39.109
2111532,São Pedro da Água Branca,10.927,6.117,5.908,10.707,1.318,12.025
2111573,São Pedro dos Crentes,4.024,2.360,2.068,2.437,1.991,4.428
2111607,São Raimundo das Mangabeiras,14.870,8.888,8.592,12.540,4.940,17.480
2111631,São Raimundo do Doca Bezerra,6.671,3.186,2.904,1.731,4.359,6.090
2111672,São Roberto,4.400,3.091,2.866,2.845,3.112,5.957
2111706,São Vicente Ferrer,18.406,10.586,10.284,5.445,15.425,20.870
2111722,Satubinha,10.815,6.164,5.823,3.634,8.353,11.987
2111748,Senador Alexandre Costa,8.571,5.123,5.130,6.160,4.093,10.253
2111763,Senador La Rocque,16.242,9.069,8.941,8.733,9.277,18.010
2111789,Serrano do Maranhão,9.120,5.843,5.081,4.222,6.702,10.924
2111805,Sítio Novo,15.114,8.949,8.058,5.137,11.870,17.007
2111904,Sucupira do Norte,10.378,5.328,5.103,4.945,5.486,10.431
2111953,Sucupira do Riachão,4.287,2.371,2.239,2.862,1.748,4.610
2112001,Tasso Fragoso,6.393,3.972,3.824,4.648,3.148,7.796
2112100,Timbiras,26.401,14.100,13.907,17.471,10.536,28.007
2112209,Timon,129.692,75.465,79.931,135.119,20.277,155.396
2112233,Trizidela do Vale,16.402,9.140,9.811,16.168,2.783,18.951
2112274,Tufilândia,5.527,2.862,2.745,2.746,2.861,5.607
2112308,Tuntum,35.411,20.025,19.232,17.911,21.346,39.257
2112407,Turiaçu,31.289,17.634,16.322,10.922,23.034,33.956
2112456,Turilândia,17.231,11.481,11.369,10.353,12.497,22.850
2112506,Tutóia,37.728,26.675,26.036,18.717,33.994,52.711
2112605,Urbano Santos,17.603,12.353,12.195,17.358,7.190,24.548
2112704,Vargem Grande,34.707,24.625,24.790,26.687,22.728,49.415
2112803,Viana,44.190,24.694,24.758,26.902,22.550,49.452
2112852,Vila Nova dos Martírios,6.705,5.930,5.328,6.187,5.071,11.258
2112902,Vitória do Mearim,29.953,15.565,15.669,14.818,16.416,31.234
2113009,Vitorino Freire,27.462,15.716,15.938,16.164,15.490,31.654
2114007,Zé Doca,46.134,24.891,25.269,30.856,19.304,50.160
Total,Maranhão,5.651.475,3.258.860,3.310.823,4.143.728,2.425.955,6.569.683
"Fonte: IBGE, Resultados do Censo 2010.",,,,,,,
